image_id,healthy,multiple_diseases,rust,scab
Test_0,9.674878664069852e-07,6.745189146230517e-05,0.9999315787624348,1.8582364741185273e-09
Test_1,1.1823804734556368e-07,1.5696334823989528e-05,0.9999841852573919,1.6973708053412497e-10
Test_2,2.448064181517655e-07,1.2827783669392716e-05,3.456887916181286e-12,0.9999869274064561
Test_3,0.9999997687663031,1.6208816984749314e-07,2.7866291720985036e-09,6.635889767800692e-08
Test_4,3.1732156231636065e-07,1.3876254721325105e-05,0.99998580595448,4.692372335502336e-10
Test_5,0.9997143902705978,0.0001815946928366624,3.4375586683116444e-05,6.9639449882668e-05
Test_6,0.9999935741563919,4.065442616977933e-06,8.163685133903412e-08,2.278764139601782e-06
Test_7,3.472835722173235e-06,0.007875647112742579,1.6346831788781452e-08,0.9921208637047035
Test_8,1.6699532289505123e-06,0.0020886157555632793,1.9088421383609964e-09,0.9979097123823657
Test_9,8.624229658770465e-09,2.5633170116382132e-05,0.9999743581670391,3.861531863134666e-11
Test_10,1.2778511700387052e-07,6.139396324630187e-05,0.999938477527466,7.241704709534312e-10
Test_11,0.999998901765645,5.0199363635446e-07,4.648997885136447e-08,5.497507402667751e-07
Test_12,3.491020667125892e-05,0.0010828817189979757,7.468348925832195e-09,0.9988822006059813
Test_13,0.9999977680477542,1.3936335278530948e-06,8.856652729818522e-09,8.294620648614449e-07
Test_14,3.512071681062818e-09,6.121054060187473e-07,0.9999993843807781,1.7443269550986282e-12
Test_15,1.0189500817932148e-07,2.812020069445422e-05,0.9999717775108696,3.934288543313852e-10
Test_16,0.9999898061292661,3.0380668791015012e-06,6.09868445322321e-08,7.0948170098598846e-06
Test_17,1.5998197018121698e-05,0.17854973538192953,4.331980123578955e-05,0.8213909466198166
Test_18,0.006862219175640315,0.001141443116728054,2.839247489884593e-07,0.9919960537828828
Test_19,2.3755178753715205e-09,9.753630922372513e-07,0.9999990222588233,2.5664669468451234e-12
Test_20,9.5410309372391e-07,7.831246125942362e-05,4.691675316197843e-11,0.9999207333887302
Test_21,0.9999994266645764,3.636924215367553e-07,1.606856137260869e-07,4.8957388410946826e-08
Test_22,1.0982921617221992e-07,4.3816786879359464e-05,0.9999560731042049,2.796998585196812e-10
Test_23,1.3279518333105542e-05,0.00011980801246751032,1.4913136535257447e-09,0.9998669109778856
Test_24,0.9999990145569125,4.094172889534338e-07,2.0314318728211772e-08,5.557114795808176e-07
Test_25,1.452925268879926e-06,8.187246543722467e-05,8.255535585771232e-11,0.9999166745267386
Test_26,9.126085786628137e-05,0.6613188648269572,1.8672244941406757e-06,0.3385880070906825
Test_27,3.559105613852538e-06,0.0007331928302882593,0.999263238893147,9.17095071835517e-09
Test_28,0.999999185738097,6.247291380470925e-07,1.8906510817078117e-09,1.876421139584295e-07
Test_29,0.00039479035054358,0.8473338612405673,0.15157811285224404,0.0006932355566448617
Test_30,0.9999885920762301,1.8321987618076174e-06,5.231131550184135e-07,9.052611853552548e-06
Test_31,3.239580214006167e-05,0.013472738923033684,0.9864929230564087,1.9422184170519913e-06
Test_32,0.001844382119006643,0.287080412102269,0.00014089708853928855,0.7109343086901851
Test_33,3.504619682813179e-06,6.897534999311795e-05,1.5439432208961108e-10,0.9999275198759298
Test_34,4.1167112674885875e-05,0.00020773756875351802,3.026584962970327e-09,0.9997510922919869
Test_35,1.2316930033839244e-06,1.8237139626689776e-05,1.798569301778861e-11,0.9999805311493841
Test_36,4.996244687648571e-07,5.6848911969498964e-05,0.9999426488080958,2.6554662570321194e-09
Test_37,5.777833240102284e-06,0.00027013696552338924,6.935839276377684e-10,0.9997240845076529
Test_38,5.884530719543152e-06,0.0003295105675926381,6.704110527016513e-10,0.9996646042312772
Test_39,5.655816931126503e-10,2.0791871632886846e-07,0.9999997915152189,4.835321467121784e-13
Test_40,9.696293430847065e-07,8.375845321434783e-05,0.9999152679412517,3.976190568285514e-09
